numEdges,Chinese,Genetic,v
7,0.000129673,0.0336239,5
32,0.000205039,0.0428481,10
75,0.00042254,0.0565665,15
135,0.000598799,0.0764875,20
216,0.000896559,0.0986819,25
310,0.0012414,0.128072,30
424,0.00178239,0.156642,35
554,0.00220329,0.193686,40
701,0.00268483,0.236005,45
866,0.00332409,0.274745,50
1051,0.00425741,0.333093,55
1253,0.0050351,0.376635,60
1704,0.00697441,0.385348,70
2231,0.0103412,0.523482,80
2822,0.0122854,0.669136,90
3490,0.0163903,0.825921,100
4217,0.0183166,1.00348,110
5025,0.0241134,1.20582,120
5903,0.030603,1.23034,130
6842,0.0329456,1.40939,140
7857,0.0387926,1.67521,150
13973,0.0785142,2.81215,200
21843,0.132739,4.58899,250
31463,0.213657,6.58218,300
42833,0.32215,0,350
55961,0.46259,0,400
70828,0.629192,0,450
87449,0.834067,0,500
105820,1.08294,0,550
125937,1.38071,0,600
147802,1.67937,0,650
171415,2.00714,0,700
196798,2.52559,0,750
223897,2.86051,0,800
252803,3.6904,0,850
283403,4.13405,0,900
315767,4.73918,0,950
349898,5.60132,0,1000
423389,7.31768,0,1100
503894,9.61825,0,1200
591348,11.4384,0,1300
685856,14.4698,0,1400
787364,18.1849,0,1500
10,0.00115451,0,6
10,0.000250914,0,6
32,0.000312146,0,10
32,0.000435983,0,10
32,0.000316504,0,10
135,0.000607897,0,20
135,0.000819402,0,20
135,0.000787678,0,20
135,0.00091705,0,20
135,0.00333932,0,20
75,0.000548956,0,15
75,0.000426081,0,15
7,0.00014146,0,5
7,0.000140081,0,5
7,0.000232919,0,5
7,0.000669871,0,5
7,0.000113917,0,5
7,0.000654132,0,5
32,0.00038518,0,10
75,0.000359368,0,15
135,0.000591688,0,20
135,0.00306557,0,20
135,0.000626753,0,20
